account_id,funding_fee_abs,funding_fee_abs_risk,mean_holding_minutes,mean_holding_risk,funding_timing_ratio,funding_timing_risk,funding_profit_ratio,funding_profit_ratio_risk,pattern1_risk,ip_shared_count,ip_shared_risk,mean_leverage,mean_leverage_risk,pattern2_risk,total_reward,total_reward_risk,reward_ip_shared_count,reward_ip_shared_risk,pattern3_risk,final_risk,total_profit_usd,detection_time,reviewed
A_06d5bd3da9,0.04703877765669831,NORMAL,193.03521844371795,NORMAL,26.627218934911244,NORMAL,1.2432933902424999,NORMAL,NORMAL,1,NORMAL,24.36390532544379,SUSPICIOUS,SUSPICIOUS,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,8698.039471732753,2025-10-31 20:00:38.588185,False
A_0ad0445c5a,10.435573368378705,NORMAL,22.68570569133987,SUSPICIOUS,25.98039215686275,NORMAL,1.2953704342541852,NORMAL,NORMAL,1,NORMAL,4.088235294117647,NORMAL,NORMAL,9.99693998,NORMAL,1,NORMAL,NORMAL,NORMAL,19334.528117841113,2025-10-31 20:00:38.588185,False
A_0bfb0b4311,1.438068213327483,NORMAL,601.5890545921958,NORMAL,26.12081170363379,NORMAL,4.357350140472429,NORMAL,NORMAL,2,SUSPICIOUS,7.8598395469561115,NORMAL,SUSPICIOUS,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,86468.57832061803,2025-10-31 20:00:38.588185,False
A_0e72128b0d,29.278489786922506,SUSPICIOUS,2711.863881170799,NORMAL,28.296703296703296,SUSPICIOUS,14.221206993947536,SUSPICIOUS,SUSPICIOUS,1,NORMAL,3.1373626373626373,NORMAL,NORMAL,63.557894133126936,NORMAL,1,NORMAL,NORMAL,NORMAL,249937.20024222377,2025-10-31 20:00:38.588185,False
A_1a7c006b71,0.2496483565875706,NORMAL,227.3651384160985,NORMAL,18.820224719101123,NORMAL,0.552772358638192,NORMAL,NORMAL,1,NORMAL,15.634831460674157,SUSPICIOUS,SUSPICIOUS,17.497396000000002,NORMAL,1,NORMAL,NORMAL,NORMAL,3793.688599953362,2025-10-31 20:00:38.588185,False
A_1b6957bd93,0.14678852200666315,NORMAL,344.42570374629634,NORMAL,35.44973544973545,SUSPICIOUS,0.3840628620613562,NORMAL,NORMAL,1,NORMAL,3.798941798941799,NORMAL,NORMAL,14.1101742,NORMAL,1,NORMAL,NORMAL,NORMAL,13873.831279188464,2025-10-31 20:00:38.588185,False
A_1f97e16953,81.79935485961798,HIGH,23.47124976493056,SUSPICIOUS,39.19597989949749,HIGH,2.0834922679020913,NORMAL,HIGH,3,HIGH,10.195979899497488,NORMAL,HIGH,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,CRITICAL,66743.18182201347,2025-10-31 20:00:38.588185,False
A_26ffea8fd9,6.040131299741508,NORMAL,1755.401665375055,NORMAL,27.7027027027027,NORMAL,3.2496030264234914,NORMAL,NORMAL,2,SUSPICIOUS,4.231660231660232,NORMAL,SUSPICIOUS,243.54482001104577,SUSPICIOUS,2,HIGH,HIGH,HIGH,384756.897651765,2025-10-31 20:00:38.588185,False
A_27fd29fd55,0.1213600759624759,NORMAL,53.02829444710145,SUSPICIOUS,30.909090909090907,SUSPICIOUS,0.18947143211839212,NORMAL,NORMAL,1,NORMAL,47.74545454545454,HIGH,HIGH,10.0,NORMAL,1,NORMAL,NORMAL,HIGH,384.3114751557724,2025-10-31 20:00:38.588185,False
A_2ba62f7b20,0.058714722196547456,NORMAL,248.08498158547718,NORMAL,23.43173431734317,NORMAL,0.4954667425316869,NORMAL,NORMAL,1,NORMAL,11.581180811808117,NORMAL,NORMAL,26.251895904999998,NORMAL,1,NORMAL,NORMAL,NORMAL,3247.005802981857,2025-10-31 20:00:38.588185,False
